x,y,value
V170,A Badel,0
V170,M Guyon,0
V170,Y Iwata,0
V170,Y Take,0
V170,R Myers,0
V170,S Pasquier,0
V170,B Vorster,0
V170,B Melham,0
V170,G Lee,0
V170,Y Kawada,0
V170,D O'Brien,0
V170,P-C Boudot,0
V170,G Schofield,0
V170,H Lam,0
V170,M Wepner,0
V170,C Perkins,0
V170,R Curatolo,0
V170,W L Ho,0
V170,M F Poon,0
V170,W M Lai,0
V170,O Peslier,0
V170,C Murray,0
V170,A Sanna,0
S266,O Doleuze,0
S266,N Rawiller,0
S266,O Bosson,0
S266,H N Wong,0
S266,M Chadwick,0
S266,T H So,0
S266,Z Purton,0
S266,K C Ng,0
S266,S Clipperton,0
S266,K K Chiong,0
S266,K C Leung,0
S266,N Callan,0
S266,K Teetan,0
S266,H T Mo,0
S266,B Prebble,0
S266,J Moreira,0
S266,D Whyte,0
S266,M L Yeung,1
S266,C Y Ho,0.2
S266,H W Lai,0
S266,Y T Cheng,0
S266,C Schofield,0
S266,S de Sousa,0
S266,U Rispoli,0
S266,C Williams,0
S266,L Corrales,0
S266,O Murphy,0
S266,G Mosse,0
S266,T Berry,0
S266,H Bowman,0
S266,C Soumillon,0
S266,D Lane,0
S266,M Barzalona,0
S266,F Geroux,0
S266,P Smullen,0
S266,G Lerena,0
S266,M Demuro,0
S266,R Moore,0
S266,K Tosaki,0
S266,N Juglall,0
S266,T Clark,0
S266,A Badel,0
S266,M Guyon,0
S266,Y Iwata,0
S266,Y Take,0
S266,R Myers,0
S266,S Pasquier,0
S266,B Vorster,0
S266,B Melham,0
S266,G Lee,0
S266,Y Kawada,0
S266,D O'Brien,0
S266,P-C Boudot,0
S266,G Schofield,0
S266,H Lam,0
S266,M Wepner,0
S266,C Perkins,0
S266,R Curatolo,0
S266,W L Ho,0
S266,M F Poon,0
S266,W M Lai,0
S266,O Peslier,0
S266,C Murray,0
S266,A Sanna,0
T098,O Doleuze,0
T098,N Rawiller,0
T098,O Bosson,0
T098,H N Wong,0
T098,M Chadwick,0
T098,T H So,0
T098,Z Purton,0
T098,K C Ng,0
T098,S Clipperton,0
T098,K K Chiong,0.444444444
T098,K C Leung,0
T098,N Callan,0
